"imgthumbnail href","imgthumbnail src","brand-label","brand-label href","product-name","in-stock","stock-qty","list-attribute","list-attribute 2","list-attribute 3","list-attribute 4","list-attribute 5","rrp","has-savings-price","price","has-vat-price","label 2","buttons"
                                var obj_57653133 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/chair-mats/cleartex-advantagemat-plus-chair-mat-for-hard-floors-900x1200-uccmflas0002--5","https://cdn3.evostore.io/productimages/vow_premium/l/fl10696.jpg","Cleartex","https://www.officemonster.co.uk/searchbrand?querybrand=1285&name=Cleartex","Cleartex Advantagemat Plus APET Rectangular Chair Mat for Hard Floors 900x1200mm UCCMFLAS0002","In Stock","25","100% recyclable for a reduced carbon footprint","50% of our manufacturing site?s energy comes from on-site and external renewable sources","Combine excellent durability, ergonomic performance and floor protection","Compatible with under floor heating systems","Easily recycled at end of life for re-use as water bottles and food containers","RRP
                                    £167.39","46","£90.44","£108.53","Product Code: FL10696","$t_item = {};
                                $t_item.item_id = 43047282;
                                $t_item.item_sku = ""FL10696"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Cleartex Advantagemat Plus APET Rectangular Chair Mat for Hard Floors 900x1200mm UCCMFLAS0002"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl10696.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_57653134 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/chair-mats/cleartex-advantagemat-plus-chair-mat-for-carpet-1185x750mm-uccmflag0001--5","https://cdn3.evostore.io/productimages/vow_premium/l/fl10699.jpg","Cleartex","https://www.officemonster.co.uk/searchbrand?querybrand=1285&name=Cleartex","Cleartex Advantagemat Plus APET Chair Mat for Low and Standard Pile Carpets 1185x750mm UCCMFLAG0001","In Stock","7","100% recyclable for a reduced carbon footprint","50% of our manufacturing site?s energy comes from on-site and external renewable sources","Combine excellent durability, ergonomic performance and floor protection","Compatible with under floor heating systems","Easily recycled at end of life for re-use as water bottles and food containers","RRP
                                    £194.72","46","£105.27","£126.32","Product Code: FL10699","$t_item = {};
                                $t_item.item_id = 43047283;
                                $t_item.item_sku = ""FL10699"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
